636,170.279399,0.402201,
648,167.164885,0.010471,
712,198.052755,0.260636,
716,180.493681,0.415489,
735,194.334361,0.161076,
1224,195.181416,0.101422,
1372,155.255806,0.055423,
1584,194.931921,0.408723,
1831,195.180234,0.313707,
1846,194.500665,0.087403,
2629,187.374948,0.116959,
2648,182.665128,0.027557,
2795,196.746748,0.154509,
3146,162.924312,0.312123,
3193,194.862533,0.140999,
3247,162.973880,0.317850,
3281,188.017963,0.460383,
3780,190.314959,0.346086,
4450,179.756429,0.063797,
4467,187.436423,0.356931,
5061,198.416737,0.065823,
5224,197.316953,0.408742,
5225,197.316953,0.408742,
5230,197.989996,0.236925,
5411,152.172096,0.427494,
5436,197.983214,0.045711,
5437,197.983214,0.045711,
5547,198.013061,0.384803,
5619,192.399149,0.368273,
5671,153.080695,0.457285,
5674,150.884946,0.055554,
5740,177.361994,0.046043,
6231,195.142849,0.140208,
6267,184.163290,0.058379,
6361,184.747875,0.323336,
median
=MEDIAN(B:B)
average
=AVERAGE(B:B)
std
=STDEV(B:B)
